address_postalCode,LongitudeLatitude
1 ABINGDON ROAD SINGAPORE 499931,103.97882940000001_1.3688600880000001
1 ADAM DRIVE SINGAPORE 289961,103.81660450000001_1.33541509
1 ADMIRALTY LANE MASJID ASSYAFAAH SINGAPORE 757620,103.8193814_1.45577051
1 AH SOO GARDEN SINGAPORE 539947,103.8833202_1.350845065
1 AIDA STREET OPERA ESTATE SINGAPORE 459919,103.9286714_1.316858996
1 AKYAB ROAD ONE AKYAB SINGAPORE 309972,103.8476588_1.322727933
1 ALBERT WINSEMIUS LANE EAST LODGE CLEMENTI SINGAPORE 126785,103.77016590000001_1.320589045
1 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158748,103.81700009999999_1.290944732
1 ALIWAL STREET CHENN LEONN BUILDING SINGAPORE 199894,103.8612507_1.301647611
1 ALJUNIED WALK INTERNATIONAL SCHOOL SINGAPORE 387293,103.87872940000001_1.320803832
1 ALLAMANDA GROVE SINGAPORE 269961,103.79458890000001_1.323030317
1 ALMOND CRESCENT MERA GARDENS SINGAPORE 677769,103.7710037_1.373235969
1 ALMOND STREET MERA GARDENS SINGAPORE 677845,103.7725587_1.373136926
1 ALNWICK ROAD SERANGOON GARDEN ESTATE SINGAPORE 559955,103.86762759999999_1.3640374769999999
1 AMBER GARDENS ONE AMBER SINGAPORE 439957,103.8981668_1.30137638
1 AMBER ROAD AMBER POINT SINGAPORE 439845,103.89852309999999_1.2988606790000001
1 AMOY STREET AMOY HOTEL SINGAPORE 049944,103.84857559999999_1.283217981
1 ANCHORVALE STREET SENGKANG COMMUNITY HOSPITAL SINGAPORE 544835,103.89183409999998_1.3960223880000002
1 ANCHORVALE STREET SENGKANG GENERAL HOSPITAL SINGAPORE 544835,103.8926402_1.39572457
1 ANDERSON ROAD THE SHANGRI-LA APARTMENTS SINGAPORE 259983,103.8265384_1.309599915
1 ANDREW ROAD CALDECOTT HILL ESTATE SINGAPORE 299940,103.8319115_1.34005346
1 ANDREWS AVENUE SINGAPORE 759931,103.837149_1.458872508
1 ANDREWS TERRACE SINGAPORE 757417,103.8377432_1.458842279
1 ANG MO KIO AVENUE 10 SINGAPORE 569729,103.85502559999999_1.360135795
1 ANG MO KIO AVENUE 9 FAR HORIZON GARDENS SINGAPORE 569758,103.83855150000001_1.383208774
1 ANG MO KIO ELECTRONICS PARK ROAD ST ENGINEERING HUB SINGAPORE 567710,103.8477378_1.389905905
1 ANG MO KIO INDUSTRIAL PARK 2A AMK TECH 1 SINGAPORE 568049,103.8678561_1.3779473519999998
1 ANG MO KIO STREET 21 ANG MO KIO CHINESE METHODIST CHURCH SINGAPORE 569383,103.8353687_1.3670752240000001
1 ANG MO KIO STREET 21 Ang Mo Kio Methodist Church Kindergarten SINGAPORE 569383,103.8353346_1.3671106309999999
1 ANG MO KIO STREET 21 ANG MO KIO METHODIST CHURCH SINGAPORE 569383,103.8353346_1.3671106380000002
1 ANG MO KIO STREET 21 ANG MO KIO TAMIL METHODIST CHURCH SINGAPORE 569383,103.8353825_1.367070917
1 ANG MO KIO STREET 32 NASCANS @ Teck Ghee SINGAPORE 569299,103.8510098_1.365650185
1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299,103.8509571_1.3655878209999999
1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,103.8525458_1.365997025
1 ANG MO KIO STREET 63 KENWOOD SINGAPORE 569110,103.8476483_1.384630332
1 ANG MO KIO STREET 63 SINGAPORE 569110,103.8478531_1.3850019480000002
1 ANG MO KIO STREET 64 MAYBANK CENTRE SINGAPORE 569083,103.849198_1.387229439
1 ANG MO KIO STREET 66 FLORAVIEW SINGAPORE 567705,103.85045500000001_1.3914922680000001
1 ANGORA CLOSE SHEPHERD'S HILL ESTATE SINGAPORE 149952,103.80638509999999_1.292035733
1 ANGSANA DRIVE SINGAPORE 627586,103.66173520000001_1.268799175
1 ANN SIANG HILL TELOK AYER CONSERVATION AREA SINGAPORE 069784,103.8453619_1.281610205
1 ANTHONY ROAD CAIRNHILL COMMUNITY CLUB (U/C) SINGAPORE 229944,103.8388827_1.310387675
1 ANTHONY ROAD CAIRNHILL COMMUNITY CLUB SINGAPORE 229944,103.8391771_1.310549737
1 ANTHONY ROAD CAIRNHILL FIRE POST SINGAPORE 229944,103.83895720000001_1.310307342
1 ANTHONY ROAD MULBERRY LEARNING CENTRE @CAIRNHILL PTE LTD SINGAPORE 229944,103.8388827_1.310387678
1 ARDMORE PARK ARDMORE II SINGAPORE 259962,103.8275402_1.309801786
1 ARTS LINK NATIONAL UNIVERSITY OF SINGAPORE (AS2) SINGAPORE 117568,103.77132390000001_1.29518318
1 ARTS LINK NATIONAL UNIVERSITY OF SINGAPORE (LT11) SINGAPORE 117568,103.7713988_1.295470876
1 ASCOT RISE SINGAPORE 289813,103.78974620000001_1.334279602
1 ASH GROVE RAFFLES PARK SINGAPORE 289783,103.80238349999999_1.333565051
1 ASHWOOD GROVE WOODGROVE ESTATE SINGAPORE 739968,103.7759022_1.428471346
1 ASIMONT LANE SINGAPORE 309939,103.8349288_1.32092616
1 ASTRID HILL SINGAPORE 269924,103.79275_1.319077386
1 AVIATION DRIVE SINGAPORE AVIATION ACADEMY SINGAPORE 499867,103.9903138_1.388319971
1 AYER CHAWAN PLACE SINGAPORE 627871,103.7023929_1.278987908
1 AYER RAJAH AVENUE INSEAD SINGAPORE 138676,103.7864793_1.299752023
1 AYER RAJAH AVENUE SORBONNE-ASSAS INTERNATIONAL LAW SCHOOL - ASIA SINGAPORE 138676,103.7867036_1.2995384909999999
1 BAH SOON PAH ROAD SINGAPORE 769959,103.825419_1.4200291530000002
1 BALESTIER ROAD SINGAPORE 329670,103.8581078_1.316363234
1 BALMORAL CRESCENT BALMORAL CREST SINGAPORE 259882,103.83400999999999_1.31585629
1 BALMORAL ROAD ONE BALMORAL SINGAPORE 259784,103.82990809999998_1.313487946
1 BANYAN PLACE SINGAPORE 627841,103.67597959999999_1.263518695
1 BANYAN VIEW SINGAPORE 627521,103.6848767_1.256902125
1 BARBARY WALK SHEPHERD'S HILL ESTATE SINGAPORE 149860,103.8058479_1.290253965
1 BARKER ROAD SINGAPORE 309859,103.83363440000001_1.319091539
1 BASEMENT DRIVE CHANGI AIRPORT TERMINAL 1 BUILDING SINGAPORE 819285,103.98989420000001_1.365821872
1 BATH ROAD SINGAPORE 779917,103.81110809999998_1.40523681
1 BAYFRONT AVENUE CITIBANK MBS B1 SINGAPORE 018971,103.8610897_1.284662262
1 BAYFRONT AVENUE CITIBANK MBS L1 SINGAPORE 018971,103.8610059_1.2846620359999998
1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE 018971,103.860809_1.283454197
1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE SINGAPORE 018971,103.86060340000002_1.283466185
1 BAYFRONT AVENUE MARINA BAY SANDS SKYPARK SINGAPORE 018971,103.86079509999999_1.283422979
1 BAYFRONT AVENUE OCBC Marina Bay Sands SINGAPORE 018971,103.8610059_1.2846620359999998
1 BAYFRONT AVENUE SANDS SKYPARK SINGAPORE 018971,103.8609567_1.284450186
1 BAYFRONT AVENUE TOWER 1 (MARINA BAY SANDS SINGAPORE) SINGAPORE 018971,103.8602202_1.282583367
1 BAYFRONT AVENUE TOWER 2 (MARINA BAY SANDS SINGAPORE) SINGAPORE 018971,103.860721_1.283603469
1 BAYFRONT AVENUE TOWER 3 (MARINA BAY SANDS SINGAPORE) SINGAPORE 018971,103.8610059_1.2846620359999998
1 BEACH ROAD BEACH ROAD GARDENS SINGAPORE 190001,103.8644787_1.303671351
1 BEACH ROAD RAFFLES HOTEL SINGAPORE 189673,103.8540683_1.295097408
1 BEACH ROAD RAFFLES HOTEL SINGAPORE SINGAPORE 189673,103.8544675_1.2948013999999999
1 BEATTY ROAD Khalsa Kindergarten SINGAPORE 209943,103.858317_1.314290915
1 BEATTY ROAD SINDA FAMILY SERVICE CENTRE SINGAPORE 209943,103.8588017_1.313975557
1 BEATTY ROAD SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA) SINGAPORE 209943,103.858317_1.31429091
1 BEDOK AVENUE SINGAPORE 469891,103.9535089_1.320502399
1 BEDOK CLOSE SINGAPORE 469867,103.9497985_1.325719923
1 BEDOK GARDEN SINGAPORE 469825,103.95348670000001_1.3231599109999999
1 BEDOK LANE SIEW LIM PARK SINGAPORE 469767,103.9482552_1.329667017
1 BEDOK NORTH STREET 2 BEDOK STADIUM SINGAPORE 469642,103.93881879999999_1.326098681
1 BEDOK NORTH STREET 5 CHWEE BEE TEMPLE SINGAPORE 486115,103.9494037_1.335441963
1 BEDOK NORTH STREET 5 HOCK CHUAN TEMPLE SINGAPORE 486115,103.9493955_1.335426362
1 BEDOK NORTH STREET 5 SINGAPORE 486115,103.94919449999999_1.335532036
1 BEDOK PLACE BEDOK GROVE SINGAPORE 486074,103.9526647_1.32509329
1 BEDOK RESERVOIR VIEW AQUARIUS BY THE PARK SINGAPORE 478926,103.93567970000001_1.3378131009999998
1 BEDOK RIA CRESCENT BEDOK RIA SINGAPORE 489817,103.9523262_1.326705654
1 BEDOK RIA PLACE BEDOK RIA SINGAPORE 489761,103.9516473_1.3265560920000001
1 BEDOK RIA TERRACE BEDOK RIA SINGAPORE 489726,103.9541889_1.3252914279999999
1 BEDOK RIA WALK BEDOK RIA SINGAPORE 489695,103.9538793_1.325858625
1 BEDOK RISE LUCKY HILL SINGAPORE 469574,103.95026130000001_1.327328697
1 BEDOK ROAD BEDOK FOOD CENTRE SINGAPORE 469572,103.9554806_1.320347167
1 BEDOK SOUTH AVENUE 1 HDB-BEDOK SINGAPORE 460001,103.93372109999999_1.320852087
1 BEDOK SOUTH AVENUE 1 MY FIRST SKOOL SINGAPORE 460001,103.93372109999999_1.32085209
1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317,103.93787900000001_1.323445933
1 BEDOK SOUTH AVENUE 2 Knowledge Park Educare (BG) Pte Ltd SINGAPORE 469317,103.93774499999999_1.32399628
1 BEDOK SOUTH AVENUE 3 GRANDEUR PARK RESIDENCES SINGAPORE 465461,103.9449192_1.325821355
1 BEDOK SOUTH ROAD SINGAPORE 469267,103.92897049999999_1.322321684
1 BEDOK TERRACE LUCKY HILL SINGAPORE 469160,103.9490335_1.325780858
1 BEDOK WALK JIN DING GARDEN SINGAPORE 469101,103.9475862_1.329558906
1 BEE SAN AVENUE HONG KONG PARK SINGAPORE 589956,103.7855473_1.3367824670000001
1 BEGONIA CRESCENT HOCK SWEE HILL SINGAPORE 809970,103.8626124_1.388018178
1 BEGONIA DRIVE FANTA GARDEN SINGAPORE 809830,103.863804_1.3875775240000001
1 BEGONIA LANE VILLA BEGONIA SINGAPORE 805817,103.86167259999999_1.386135544
1 BEGONIA TERRACE HOCK SWEE HILL SINGAPORE 809757,103.86224720000001_1.3885720380000002
1 BEGONIA WALK VILLA BEGONIA SINGAPORE 805789,103.86181540000001_1.386525691
1 BELMONT ROAD THE BELMONT SINGAPORE 269852,103.7985448_1.3132776640000001
1 BENG WAN ROAD SINGAPORE 339833,103.86542440000001_1.323813191
1 BENOI CRESCENT SINGAPORE 629986,103.6880684_1.321970093
1 BENOI PLACE SINGAPORE 629923,103.67962_1.313938761
1 BENOI ROAD SINGAPORE 629875,103.6806535_1.307933434
1 BERRIMA ROAD DUNEARN ESTATE SINGAPORE 299877,103.8232192_1.3236958779999999
1 BERWICK DRIVE SERANGOON GARDEN ESTATE SINGAPORE 559891,103.86209840000001_1.365730558
1 BILAL LANE SINGAPORE 469075,103.9539017_1.322610652
1 BINCHANG RISE LAUW AND SONS GARDEN SINGAPORE 579872,103.84438659999999_1.349276621
1 BINCHANG WALK LAUW AND SONS GARDEN SINGAPORE 579855,103.8467389_1.35173875
1 BINJAI HILL BINJAI PARK SINGAPORE 589918,103.78708780000001_1.34064688
1 BINJAI PARK BINJAI PARK SINGAPORE 589818,103.78649329999999_1.335839837
1 BINJAI RISE SINGAPORE 589791,103.7874093_1.342605052
1 BINJAI WALK BINJAI PARK SINGAPORE 589734,103.78752270000001_1.337674931
1 BIOPOLIS DRIVE AMNIOS SINGAPORE 138622,103.79297690000001_1.301205835
1 BIOPOLIS DRIVE LITTLE RAFFLES SCHOOL HOUSE PTE. LTD. SINGAPORE 138622,103.79297690000001_1.301205837
1 BISHAN STREET 12 SINGAPORE 579808,103.8498961_1.3475543509999999
1 BISHAN STREET 12 THE SINGAPORE SCOUT ASSOCIATION SINGAPORE 579808,103.8501278_1.347614265
1 BISHAN STREET 14 BISHAN SWIMMING COMPLEX SINGAPORE 579778,103.8502749_1.35432576
1 BISHAN STREET 15 SKY VUE SINGAPORE 573910,103.8507192_1.3523166569999998
1 BISHOPS PLACE SERANGOON GARDEN ESTATE SINGAPORE 559876,103.8637224_1.367943492
